model_type,step,input_length,accuracy,loss
RNN,430,5,0.484375,0.9903339743614197
RNN,440,5,0.796875,0.6291324496269226
RNN,450,5,0.6328125,0.7492436170578003
RNN,460,5,0.6171875,0.7017624378204346
RNN,470,5,0.8125,0.5620243549346924
RNN,480,5,0.65625,0.7001001834869385
RNN,490,5,0.5234375,0.9107160568237305
RNN,500,5,0.828125,0.5338221788406372
RNN,510,5,0.8125,0.5359650254249573
RNN,520,5,0.75,0.6128197908401489
RNN,530,5,0.765625,0.5586168766021729
RNN,540,5,0.75,0.5739389657974243
RNN,550,5,0.84375,0.52597576379776
RNN,560,5,0.7421875,0.6310276389122009
RNN,570,5,0.859375,0.425811767578125
RNN,580,5,0.6640625,0.7244478464126587
RNN,590,5,0.84375,0.42495638132095337
RNN,600,5,0.7109375,0.642795741558075
RNN,610,5,0.8671875,0.4451770782470703
RNN,620,5,0.7109375,0.6008409261703491
RNN,630,5,0.8046875,0.4694090485572815
RNN,640,5,0.8125,0.4306156635284424
RNN,650,5,0.796875,0.49064505100250244
RNN,660,5,0.734375,0.5174953937530518
RNN,670,5,0.84375,0.39868736267089844
RNN,680,5,0.890625,0.3655642867088318
RNN,690,5,0.2421875,1.5388721227645874
RNN,700,5,0.9140625,0.35616305470466614
RNN,710,5,0.859375,0.39657583832740784
RNN,720,5,0.875,0.39276060461997986
RNN,730,5,0.625,0.8333746194839478
RNN,740,5,0.75,0.47876444458961487
RNN,750,5,0.8828125,0.3037121295928955
RNN,760,5,0.921875,0.29822567105293274
RNN,770,5,0.921875,0.28815948963165283
RNN,780,5,0.421875,1.4473762512207031
RNN,790,5,0.96875,0.29080262780189514
RNN,800,5,0.96875,0.2598389685153961
RNN,810,5,0.9765625,0.25783446431159973
RNN,820,5,0.9453125,0.283061146736145
RNN,830,5,0.671875,0.6520324349403381
RNN,840,5,0.953125,0.250248521566391
RNN,850,5,0.859375,0.35774654150009155
RNN,860,5,0.984375,0.18721362948417664
RNN,870,5,0.828125,0.33069726824760437
RNN,880,5,0.5546875,0.8376718163490295
RNN,890,5,0.9296875,0.2460765689611435
RNN,900,5,0.796875,0.3879396319389343
RNN,910,5,0.9765625,0.1891055554151535
RNN,920,5,0.6328125,0.7189871668815613
RNN,930,5,0.96875,0.25542789697647095
RNN,940,5,0.9609375,0.23085865378379822
RNN,950,5,0.921875,0.24740652740001678
RNN,960,5,0.609375,0.8257406949996948
RNN,970,5,0.703125,0.49429845809936523
RNN,980,5,0.9609375,0.19183844327926636
RNN,990,5,0.9921875,0.17717894911766052
RNN,1000,5,0.8046875,0.3631672263145447
RNN,1010,5,0.3046875,2.29681396484375
RNN,1020,5,0.9375,0.20344164967536926
RNN,1030,5,0.84375,0.31551939249038696
RNN,1040,5,0.8515625,0.3550918400287628
RNN,1050,5,0.9921875,0.15596358478069305
RNN,1060,5,0.796875,0.35015588998794556
RNN,1070,5,0.984375,0.179853156208992
RNN,1080,5,0.9453125,0.17080001533031464
RNN,1090,5,0.9765625,0.1685631424188614
RNN,1100,5,0.984375,0.16981559991836548
RNN,1110,5,0.984375,0.17154467105865479
RNN,1120,5,0.6484375,0.705944836139679
RNN,1130,5,1.0,0.13632537424564362
RNN,1140,5,0.4296875,2.3647825717926025
RNN,1150,5,1.0,0.15411363542079926
RNN,1160,5,1.0,0.1138184517621994
RNN,1170,5,1.0,0.1284255087375641
RNN,1180,5,1.0,0.1251470446586609
RNN,1190,5,0.734375,0.6070188283920288
RNN,1200,5,0.984375,0.13660484552383423
RNN,1210,5,1.0,0.131639763712883
RNN,1220,5,0.984375,0.1826898157596588
RNN,1230,5,1.0,0.10190459340810776
RNN,1240,5,1.0,0.09766783565282822
RNN,1250,5,1.0,0.0926409363746643
RNN,0,5,0.125,2.3025829792022705
RNN,10,5,0.09375,2.306903600692749
RNN,20,5,0.1171875,2.23313570022583
