iter 101, train_loss_avg 2.2635642313489726, test_loss_avg 1.7452958822250366, train_acc 0.3499999940395355, test_acc_avg 0.3674133414626122
iter 102, train_loss_avg 2.2596105464453835, test_loss_avg 1.7402294874191284, train_acc 0.35333335399627686, test_acc_avg 0.36751111898819605
iter 103, train_loss_avg 2.254427216373957, test_loss_avg 1.7380374670028687, train_acc 0.4033333361148834, test_acc_avg 0.3694133418401082
iter 104, train_loss_avg 2.250059855551947, test_loss_avg 1.7478632926940918, train_acc 0.3799999952316284, test_acc_avg 0.36868889701366425
iter 105, train_loss_avg 2.2451193411395236, test_loss_avg 1.7602125406265259, train_acc 0.3566666841506958, test_acc_avg 0.3629288967649142
iter 106, train_loss_avg 2.2412123178767267, test_loss_avg 1.7606112957000732, train_acc 0.3799999952316284, test_acc_avg 0.3620066746075948
iter 107, train_loss_avg 2.236972829809895, test_loss_avg 1.7500556707382202, train_acc 0.36000001430511475, test_acc_avg 0.36905556402603784
iter 108, train_loss_avg 2.2325419187545776, test_loss_avg 1.753311038017273, train_acc 0.3400000035762787, test_acc_avg 0.3703866746624311
iter 109, train_loss_avg 2.229144079034979, test_loss_avg 1.7569156885147095, train_acc 0.33000001311302185, test_acc_avg 0.3676622298558553
iter 110, train_loss_avg 2.2249388351096764, test_loss_avg 1.7631380558013916, train_acc 0.3766666650772095, test_acc_avg 0.3655511187314987
iter 111, train_loss_avg 2.221536378775324, test_loss_avg 1.7704533338546753, train_acc 0.33000001311302185, test_acc_avg 0.35670667427778247
iter 112, train_loss_avg 2.2183522692823834, test_loss_avg 1.768489956855774, train_acc 0.33666667342185974, test_acc_avg 0.3596488967140516
iter 113, train_loss_avg 2.2144287563206855, test_loss_avg 1.7586911916732788, train_acc 0.3466666638851166, test_acc_avg 0.3639666745662689
iter 114, train_loss_avg 2.210218347673831, test_loss_avg 1.759584903717041, train_acc 0.4033333361148834, test_acc_avg 0.36798000760873156
iter 115, train_loss_avg 2.206208937127015, test_loss_avg 1.7544078826904297, train_acc 0.39666667580604553, test_acc_avg 0.37258667504787446
iter 116, train_loss_avg 2.2019781271616616, test_loss_avg 1.7432819604873657, train_acc 0.4166666865348816, test_acc_avg 0.37742000846068063
iter 117, train_loss_avg 2.198285643327034, test_loss_avg 1.732561469078064, train_acc 0.3733333349227905, test_acc_avg 0.38068223085006075
iter 118, train_loss_avg 2.194358824681835, test_loss_avg 1.7409673929214478, train_acc 0.3700000047683716, test_acc_avg 0.3766733417113622
iter 119, train_loss_avg 2.1903836359580358, test_loss_avg 1.755719780921936, train_acc 0.3700000047683716, test_acc_avg 0.3684733416636785
iter 120, train_loss_avg 2.1870150369060926, test_loss_avg 1.7412428855895996, train_acc 0.3733333349227905, test_acc_avg 0.3717088976105054
iter 121, train_loss_avg 2.1827116227540815, test_loss_avg 1.7387231588363647, train_acc 0.3866666853427887, test_acc_avg 0.3710933414498965
iter 122, train_loss_avg 2.1789290972841466, test_loss_avg 1.749132513999939, train_acc 0.39000001549720764, test_acc_avg 0.3611288964351018
iter 123, train_loss_avg 2.1764056259585964, test_loss_avg 1.7439489364624023, train_acc 0.30666667222976685, test_acc_avg 0.36692445232470833
iter 124, train_loss_avg 2.1729792308807374, test_loss_avg 1.742207407951355, train_acc 0.3700000047683716, test_acc_avg 0.36724000787734984
iter 125, train_loss_avg 2.170156561193012, test_loss_avg 1.7324212789535522, train_acc 0.3400000035762787, test_acc_avg 0.3673377858201663
iter 126, train_loss_avg 2.166451982625826, test_loss_avg 1.7402493953704834, train_acc 0.3466666638851166, test_acc_avg 0.3675555634299914
iter 127, train_loss_avg 2.1636942699551582, test_loss_avg 1.7535244226455688, train_acc 0.36000001430511475, test_acc_avg 0.3619644521077474
iter 128, train_loss_avg 2.160264120545498, test_loss_avg 1.7454712390899658, train_acc 0.39000001549720764, test_acc_avg 0.36772889689604443
iter 129, train_loss_avg 2.1565200961553135, test_loss_avg 1.7188626527786255, train_acc 0.3733333349227905, test_acc_avg 0.3805755639473597
iter 130, train_loss_avg 2.1528331150535407, test_loss_avg 1.7113686800003052, train_acc 0.3766666650772095, test_acc_avg 0.37771778629223507
iter 131, train_loss_avg 2.149704281127814, test_loss_avg 1.7171783447265625, train_acc 0.3633333444595337, test_acc_avg 0.377255564113458
iter 132, train_loss_avg 2.147240470226546, test_loss_avg 1.7205684185028076, train_acc 0.3700000047683716, test_acc_avg 0.3753622308174769
iter 133, train_loss_avg 2.1437651950921586, test_loss_avg 1.7259535789489746, train_acc 0.39000001549720764, test_acc_avg 0.3741644528309504
iter 134, train_loss_avg 2.141618729520727, test_loss_avg 1.7121152877807617, train_acc 0.4000000059604645, test_acc_avg 0.38018000837167104
iter 135, train_loss_avg 2.1382185685283996, test_loss_avg 1.698394536972046, train_acc 0.3866666853427887, test_acc_avg 0.38681556429465613
iter 136, train_loss_avg 2.1360688627201276, test_loss_avg 1.694292664527893, train_acc 0.3633333444595337, test_acc_avg 0.39404445366064705
iter 137, train_loss_avg 2.132648232190505, test_loss_avg 1.7056978940963745, train_acc 0.4000000059604645, test_acc_avg 0.3866955644687017
iter 138, train_loss_avg 2.129698570683706, test_loss_avg 1.717925786972046, train_acc 0.39000001549720764, test_acc_avg 0.3821733418305715
iter 139, train_loss_avg 2.126436356987272, test_loss_avg 1.7223460674285889, train_acc 0.38333335518836975, test_acc_avg 0.3812977862755458
iter 140, train_loss_avg 2.1243647243959685, test_loss_avg 1.7132506370544434, train_acc 0.32333335280418396, test_acc_avg 0.3864066754380862
iter 141, train_loss_avg 2.1214014526823877, test_loss_avg 1.7005481719970703, train_acc 0.4099999964237213, test_acc_avg 0.3940088981191317
iter 142, train_loss_avg 2.1188685527214637, test_loss_avg 1.700323224067688, train_acc 0.4000000059604645, test_acc_avg 0.3933755648136139
iter 143, train_loss_avg 2.1159912563032575, test_loss_avg 1.6991145610809326, train_acc 0.38333335518836975, test_acc_avg 0.39489778715372087
iter 144, train_loss_avg 2.11377986957287, test_loss_avg 1.701127290725708, train_acc 0.33666667342185974, test_acc_avg 0.38857556476195654
iter 145, train_loss_avg 2.110812057371009, test_loss_avg 1.7104319334030151, train_acc 0.4233333468437195, test_acc_avg 0.3814022307197253
iter 146, train_loss_avg 2.1079326365269773, test_loss_avg 1.723675012588501, train_acc 0.3766666650772095, test_acc_avg 0.3748311194976171
iter 147, train_loss_avg 2.105383380039318, test_loss_avg 1.7126646041870117, train_acc 0.4000000059604645, test_acc_avg 0.37774667497475944
iter 148, train_loss_avg 2.1032609451537163, test_loss_avg 1.713371753692627, train_acc 0.3566666841506958, test_acc_avg 0.3812488972942034
iter 149, train_loss_avg 2.1009914827346803, test_loss_avg 1.6886972188949585, train_acc 0.3633333444595337, test_acc_avg 0.3906933422883352
iter 150, train_loss_avg 2.098237766335342, test_loss_avg 1.676803708076477, train_acc 0.4099999964237213, test_acc_avg 0.39609112056096396
iter 151, train_loss_avg 2.095193442545439, test_loss_avg 1.6717926263809204, train_acc 0.42000001668930054, test_acc_avg 0.3984577869772911
iter 152, train_loss_avg 2.0927284948186937, test_loss_avg 1.6689088344573975, train_acc 0.39000001549720764, test_acc_avg 0.3984177869558334
iter 153, train_loss_avg 2.089840466325933, test_loss_avg 1.6765958070755005, train_acc 0.42000001668930054, test_acc_avg 0.3936777869661649
iter 154, train_loss_avg 2.0875649659864366, test_loss_avg 1.697377324104309, train_acc 0.3466666638851166, test_acc_avg 0.38473778613408405
iter 155, train_loss_avg 2.085439628515488, test_loss_avg 1.7129954099655151, train_acc 0.3499999940395355, test_acc_avg 0.3852755645513535
iter 156, train_loss_avg 2.0833980315809795, test_loss_avg 1.7005765438079834, train_acc 0.4099999964237213, test_acc_avg 0.3872911203304927
iter 157, train_loss_avg 2.0806170234197303, test_loss_avg 1.6849032640457153, train_acc 0.43666666746139526, test_acc_avg 0.38787778647740684
iter 158, train_loss_avg 2.0780768057085433, test_loss_avg 1.6725953817367554, train_acc 0.3633333444595337, test_acc_avg 0.39361112012465793
iter 159, train_loss_avg 2.0757612638175487, test_loss_avg 1.6654449701309204, train_acc 0.3799999952316284, test_acc_avg 0.40135334263245265
iter 160, train_loss_avg 2.073861735207694, test_loss_avg 1.6691288948059082, train_acc 0.3566666841506958, test_acc_avg 0.4034200095534325
iter 161, train_loss_avg 2.071496488135538, test_loss_avg 1.6681482791900635, train_acc 0.4000000059604645, test_acc_avg 0.40252445379892987
iter 162, train_loss_avg 2.0690148059575835, test_loss_avg 1.6645410060882568, train_acc 0.4166666865348816, test_acc_avg 0.40315778682629266
iter 163, train_loss_avg 2.066528110969357, test_loss_avg 1.6666923761367798, train_acc 0.4000000059604645, test_acc_avg 0.39833112037181856
iter 164, train_loss_avg 2.0640882029677883, test_loss_avg 1.6699531078338623, train_acc 0.4000000059604645, test_acc_avg 0.3966377867658933
iter 165, train_loss_avg 2.0615562315446785, test_loss_avg 1.6929010152816772, train_acc 0.39000001549720764, test_acc_avg 0.39776889836788176
iter 166, train_loss_avg 2.0590176325358316, test_loss_avg 1.664911150932312, train_acc 0.42000001668930054, test_acc_avg 0.40866667626301445
iter 167, train_loss_avg 2.056931971084504, test_loss_avg 1.6863101720809937, train_acc 0.38333335518836975, test_acc_avg 0.40560000924269357
iter 168, train_loss_avg 2.054905567648848, test_loss_avg 1.6683745384216309, train_acc 0.4099999964237213, test_acc_avg 0.4106800096233686
iter 169, train_loss_avg 2.0522117025711957, test_loss_avg 1.6461007595062256, train_acc 0.4333333373069763, test_acc_avg 0.41290445407231646
iter 170, train_loss_avg 2.0500985460671766, test_loss_avg 1.6449891328811646, train_acc 0.39666667580604553, test_acc_avg 0.4154222318132718
iter 171, train_loss_avg 2.0479498893715613, test_loss_avg 1.6528699398040771, train_acc 0.43666666746139526, test_acc_avg 0.41254001001516977
iter 172, train_loss_avg 2.0452316785823403, test_loss_avg 1.6414430141448975, train_acc 0.4099999964237213, test_acc_avg 0.41691556547085445
iter 173, train_loss_avg 2.0424009910945236, test_loss_avg 1.6376453638076782, train_acc 0.43666666746139526, test_acc_avg 0.4187200098832448
iter 174, train_loss_avg 2.039643690245492, test_loss_avg 1.6617343425750732, train_acc 0.47333335876464844, test_acc_avg 0.4080733427007993
iter 175, train_loss_avg 2.0374374613165855, test_loss_avg 1.6592826843261719, train_acc 0.4399999976158142, test_acc_avg 0.40514445436000823
